C1:1
C2:1
C5:1
C6:1
CBOOT1:1
CIN1:1
CIN2:1
CIN3:1
CINX1:1
COUT1:1
COUT2:1
FAN1:1
FAN2:1
H1:1
I2C_HEADER1:1
J1:1
J2:1
J6:1
L1:1
L3:1
LIGHTS1:1
MISTER1:1
PS1:1
Q1:1
Q3:1
R1:1
R10:1
R11:1
R12:1
R15:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
RESET1:1
RFBB1:1
RFBT1:1
STATUS_LED1:1
U2:1
U5:1
U6:1
